0x4:b8080050	 brai	 0x50	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa90:6083000a	 muli	 r4,  r3,  0xa	 
0xa94:e873000c	 lwi	 r3,  r19,  0xc	 
0xa98:10641800	 addk	 r3,  r4,  r3	 
0xa9c:64630402	 bslli	 r3,  r3,  0x2	 
0xaa0:b0000000	 imm	 0x0	 
0xaa4:30630cd8	 addik	 r3,  r3,  0xcd8	 
0xaa4:30630cd8	 addik	 r3,  r3,  0xcd8	 
0xaa8:e8930004	 lwi	 r4,  r19,  0x4	 
0xaac:f8830000	 swi	 r4,  r3,  0x0	 
0xab0:e873000c	 lwi	 r3,  r19,  0xc	 
0xab4:30630001	 addik	 r3,  r3,  0x1	 
0xab8:f873000c	 swi	 r3,  r19,  0xc	 
0xabc:e893000c	 lwi	 r4,  r19,  0xc	 
0xac0:30600009	 addik	 r3,  r0,  0x9	 
0xac4:16441801	 cmp	 r18,  r4,  r3	 
0xac8:bcb2ff48	 bgei	 r18,  0xff48	 
0xa14:f8730004	 swi	 r3,  r19,  0x4	 
0xa18:f8130010	 swi	 r0,  r19,  0x10	 
0xa1c:b8000060	 bri	 0x60	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
0xa84:16441801	 cmp	 r18,  r4,  r3	 
0xa88:bcb2ff98	 bgei	 r18,  0xff98	 
0xa24:6083000a	 muli	 r4,  r3,  0xa	 
0xa28:e8730010	 lwi	 r3,  r19,  0x10	 
0xa2c:10641800	 addk	 r3,  r4,  r3	 
0xa30:64630402	 bslli	 r3,  r3,  0x2	 
0xa34:b0000000	 imm	 0x0	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa38:30630ff8	 addik	 r3,  r3,  0xff8	 
0xa3c:e8830000	 lwi	 r4,  r3,  0x0	 
0xa40:e8730010	 lwi	 r3,  r19,  0x10	 
0xa44:60a3000a	 muli	 r5,  r3,  0xa	 
0xa48:e873000c	 lwi	 r3,  r19,  0xc	 
0xa4c:10651800	 addk	 r3,  r5,  r3	 
0xa50:64630402	 bslli	 r3,  r3,  0x2	 
0xa54:b0000000	 imm	 0x0	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa58:30630e68	 addik	 r3,  r3,  0xe68	 
0xa5c:e8630000	 lwi	 r3,  r3,  0x0	 
0xa60:58641900	 fmul	 r3,  r4,  r3	 
0xa64:e8930004	 lwi	 r4,  r19,  0x4	 
0xa68:58641800	 fadd	 r3,  r4,  r3	 
0xa6c:f8730004	 swi	 r3,  r19,  0x4	 
0xa70:e8730010	 lwi	 r3,  r19,  0x10	 
0xa74:30630001	 addik	 r3,  r3,  0x1	 
0xa78:f8730010	 swi	 r3,  r19,  0x10	 
0xa7c:e8930010	 lwi	 r4,  r19,  0x10	 
0xa80:30600009	 addik	 r3,  r0,  0x9	 
